
ListDLLs v3.1 - List loaded DLLs
Copyright (C) 1997-2011 Mark Russinovich
Sysinternals - www.sysinternals.com

------------------------------------------------------------------------------
msedge.exe pid: 2332
Command line: "C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --no-startup-window

Base                Size      Path
0x00000000d85c0000  0x3f3000  C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00000000ec290000  0x1f8000  C:\Windows\SYSTEM32\ntdll.dll
0x00000000eb260000  0xbd000   C:\Windows\System32\KERNEL32.DLL
0x00000000e9b20000  0x2f6000  C:\Windows\System32\KERNELBASE.dll
0x00000000b8ae0000  0x41c000  C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.80\msedge_elf.dll
0x00000000eab40000  0xcd000   C:\Windows\System32\OLEAUT32.dll
0x00000000ea230000  0x9d000   C:\Windows\System32\msvcp_win.dll
0x00000000e9e20000  0x100000  C:\Windows\System32\ucrtbase.dll
0x00000000ea2d0000  0x354000  C:\Windows\System32\combase.dll
0x00000000eaa10000  0x126000  C:\Windows\System32\RPCRT4.dll
0x00000000e9f20000  0x82000   C:\Windows\System32\bcryptprimitives.dll
0x00000000e0bc0000  0xa000    C:\Windows\SYSTEM32\version.dll
0x00000000ebf90000  0x9e000   C:\Windows\System32\msvcrt.dll
0x00000000ec190000  0xb3000   C:\Windows\System32\ADVAPI32.dll
0x00000000eb7a0000  0x9f000   C:\Windows\System32\sechost.dll
0x00000000e9a80000  0x27000   C:\Windows\System32\bcrypt.dll
0x00000000e8a60000  0x33000   C:\Windows\SYSTEM32\ntmarta.dll
0x00000000a8e30000  0xfca1000  C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.80\msedge.dll
0x00000000de510000  0x27000   C:\Windows\SYSTEM32\WINMM.dll
0x00000000eac10000  0x19e000  C:\Windows\System32\USER32.dll
0x00000000e9950000  0x22000   C:\Windows\System32\win32u.dll
0x00000000eb0e0000  0x2b000   C:\Windows\System32\GDI32.dll
