pid,name,cpu_percent,median_cpu_percent,quadratic_deviation,ram_usage,upload,download,upload_speed,median_upload,download_speed
6368,explorer.exe,86.375,89.3,18.957922661321604,2100.296875,108,1052,0.1544588041756361,0.16857492033540525,1.5045431665997147
9348,python3.11.exe,8.775,9.2,2.0973197181164394,93.6015625,0,0,0.0,,0.0
4800,conhost.exe,0.45,0.42500000000000004,0.2226031315930023,23.33984375,0,0,0.0,,0.0
7652,Code.exe,0.225,0.225,0.24666138071188576,57.78515625,0,0,0.0,,0.0
5692,Code.exe,0.0,0.225,0.06604729288895332,82.171875,0,0,0.0,,0.0
4496,Code.exe,0.0,0.45,0.14923273154125843,95.58203125,0,0,0.0,,0.0
4604,powershell.exe,0.0,,0.0,45.4375,0,0,0.0,,0.0
4968,StartMenuExperienceHost.exe,0.0,,0.0,58.6171875,0,0,0.0,,0.0
5184,RuntimeBroker.exe,0.0,,0.0,25.6015625,0,0,0.0,,0.0
5392,powershell.exe,0.0,,0.0,63.18359375,0,0,0.0,,0.0
5516,SearchApp.exe,0.0,,0.0,140.04296875,0,0,0.0,,0.0
6040,svchost.exe,0.0,,0.0,21.578125,0,0,0.0,,0.0
5716,RuntimeBroker.exe,0.0,,0.0,33.9296875,0,0,0.0,,0.0
4228,RuntimeBroker.exe,0.0,,0.0,21.2890625,0,0,0.0,,0.0
6260,RuntimeBroker.exe,0.0,,0.0,23.83984375,0,0,0.0,,0.0
6320,Code.exe,0.0,,0.0,80.1328125,0,0,0.0,,0.0
6612,msedge.exe,0.0,,0.0,76.203125,0,0,0.0,,0.0
6832,msedge.exe,0.0,,0.0,21.12109375,0,0,0.0,,0.0
6840,msedge.exe,0.0,,0.0,26.86328125,0,0,0.0,,0.0
7872,svchost.exe,0.0,,0.0,38.3984375,0,0,0.0,,0.0
4448,svchost.exe,0.0,,0.0,22.51171875,0,0,0.0,,0.0
108,Registry,0.0,,0.0,71.296875,0,0,0.0,,0.0
384,dwm.exe,0.0,0.225,0.09176710638381794,70.015625,0,0,0.0,,0.0
2952,Code.exe,0.0,0.225,0.11237237658965911,115.50390625,0,0,0.0,,0.0
808,svchost.exe,0.0,,0.0,31.87109375,0,0,0.0,,0.0
984,svchost.exe,0.0,,0.0,23.078125,0,0,0.0,,0.0
1644,Code.exe,0.0,,0.0,27.02734375,0,0,0.0,,0.0
1832,svchost.exe,0.0,0.225,0.16225452416572209,136.84375,0,0,0.0,,0.0
1912,HxTsr.exe,0.0,,0.0,22.73046875,0,0,0.0,,0.0
1920,MemCompression,0.0,,0.0,175.93359375,0,0,0.0,,0.0
2104,TextInputHost.exe,0.0,,0.0,35.53125,0,0,0.0,,0.0
2872,svchost.exe,0.0,,0.0,33.2734375,0,0,0.0,,0.0
3064,Code.exe,0.0,0.225,0.11834315375557782,71.93359375,0,0,0.0,,0.0
3900,Code.exe,0.0,0.2,0.042591770999996,39.89453125,3961,2270,5.673575500492493,9.803973775989379,3.251455790486736
3156,ShellExperienceHost.exe,0.0,,0.0,54.55859375,0,0,0.0,,0.0
3236,SearchIndexer.exe,0.0,,0.0,31.44921875,0,0,0.0,,0.0
3336,Code.exe,0.0,0.45,0.4438959909637063,260.984375,0,0,0.0,,0.0
3460,sihost.exe,0.0,,0.0,25.69140625,0,0,0.0,,0.0
3524,svchost.exe,0.0,,0.0,35.7890625,0,0,0.0,,0.0
3588,ApplicationFrameHost.exe,0.0,,0.0,23.39453125,0,0,0.0,,0.0
3648,explorer.exe,0.0,0.45,0.14923273154125843,152.046875,0,0,0.0,,0.0
3844,Code.exe,0.0,,0.0,303.7578125,0,0,0.0,,0.0
4200,taskhostw.exe,0.0,,0.0,20.23046875,0,0,0.0,,0.0
