pid,name,create_time,Upload,Download,Upload Speed,Download Speed
756,svchost.exe,2024-04-16 19:59:23.817535,85385,11997622,0,0
6368,explorer.exe,2024-04-16 08:15:51.110846,6250,20503,0,0
7872,svchost.exe,2024-04-16 20:40:08.179079,13482,12349,0,0
3900,Code.exe,2024-04-16 20:10:23.135547,20345,5756,0,0
2872,svchost.exe,2024-04-16 19:57:23.655301,17275,4540,0,0
7428,waterfox.exe,2024-04-16 20:08:02.973228,3845,4108,0,0
4200,taskhostw.exe,2024-04-16 20:12:25.914070,4554,1184,0,0
5516,SearchApp.exe,2024-04-16 19:57:27.661906,324,1014,0,0
2840,svchost.exe,2024-04-16 19:57:23.648157,966,788,0,0
2984,svchost.exe,2024-04-16 19:57:23.700689,218,461,0,0
