PID,CPU utilization,CPU Quadtric deviation,Ram Usage,Network Upload Rate,Number of crypto api calls,Crytpojacker or not
17,68.72700594236812,94.28755706020276,2571.706268155608,20.67268846744308,8,no
18,97.53571532049581,1909.231233791341,345.71846033024485,212.5418526272592,0,no
19,86.59969709057026,943.06794322898,654.8985692375089,216.2540486440426,0,no
20,79.93292420985183,1525.7120734941084,3595.231212223046,254.97196059928262,3,yes
21,57.80093202212183,2722.699421778279,2429.6519480417637,290.43653348906463,8,yes
22,57.79972601681013,747.8766874466248,46.696235950352296,390.34083178501385,5,no
23,52.90418060840997,1231.1487691068892,414.8714560354681,206.52013932047814,2,no
24,93.30880728874675,2266.653415629146,2657.3720587411426,129.1825891764984,0,yes
25,80.05575058716045,686.3944964748674,30.195719546412562,318.0744779074815,3,no
26,85.40362888980228,230.93972948637898,651.6241251558197,108.3329005048297,8,yes
27,51.029224714790125,869.254358741304,2199.447819572679,175.58856828225444,2,yes
28,98.49549260809971,483.66386176201325,2770.661838793846,31.38255253690638,8,yes
29,91.62213204002109,2789.0929570277194,2611.3254254153762,10.140297366183004,6,yes
30,60.61695553391381,2424.3611386932507,904.8345447476336,385.05936587117003,3,no
31,59.09124836035503,1900.2112695312703,2851.595093176668,334.3920482048823,2,yes
32,59.17022549267169,2614.381770563153,956.6238591122323,278.38968243747917,9,no
33,65.21211214797688,2411.0162306973434,1308.3447956554783,163.58117776570796,4,no
34,76.2378215816119,559.7101766581076,2988.5007064209162,69.31772802833831,4,no
35,71.5972509321058,2677.6769954699334,2602.0352671983865,62.57481706843442,2,no
36,64.5614570099021,1618.0267257469523,3398.40140787177,100.09715926583813,8,yes
37,80.59264473611897,2422.3204654921874,2633.87544027837,219.6906658824482,3,no
38,56.97469303260209,2688.2738997704796,2277.5513273085317,285.83836908002496,4,no
39,64.6072324267609,954.0104249155917,383.762323634089,264.0789506870925,3,yes
40,68.31809216468459,330.1557735830303,1477.1860542071397,111.97355877837714,4,no
41,72.8034992108518,683.8054876258251,1068.1574470500846,381.94611226527763,6,no
42,89.25879806965068,1281.323365878769,983.5186770825435,295.1587666783074,8,no
43,59.98368910791799,2454.0442977674793,3892.312113462258,221.74162100456027,6,no
44,75.71172192068059,2582.19174976903,1578.459921420374,244.6882984937409,4,no
45,79.62072844310212,20.85639159357211,3569.265755156682,167.84002497111595,9,yes
46,52.32252063599989,1532.2419077326972,2528.243117729079,99.09239580046298,9,no
47,80.37724259507192,1252.233009446337,3181.297101131177,142.38907146050462,6,no
48,58.526206184364575,666.3234314121908,2015.5220014897166,303.13844418574763,9,yes
49,53.25257964926398,359.5961020010484,2311.846499659173,5.757395451902347,4,yes
50,97.44427686266667,1012.8455142108838,1975.1455983372668,46.429056202766496,2,yes
51,98.28160165372796,2828.7291117375576,789.0195213141975,18.4010568087011,6,no
52,90.41986740582306,969.6087960622657,2892.5839398934063,16.291520927588053,1,no
53,65.23068845866854,1556.3718652300984,1130.2817261390146,342.1842336044029,8,yes
54,54.883605700319194,2109.0568766855336,107.02070606150082,281.46314375200944,9,no
55,84.21165132560785,1090.888807137882,2585.4344606695995,189.66953163493008,9,yes
56,72.00762468698007,2915.346248162882,716.6716108341253,39.13366426040059,0,no
57,56.10191174223894,2887.3418848263336,3762.429751568128,196.64635004673295,5,no
58,74.75884550556351,755.3468874760924,3816.1750222403234,189.38870831222627,6,no
59,51.71942605576092,1491.7455176771564,3660.3089169795894,69.28074796400607,7,yes
60,95.4660201039391,902.634929450309,1486.9332140192232,173.54065969518922,9,yes
61,62.93899908000085,854.5214831324029,71.67189995018104,159.40189375894937,8,yes
62,83.1261142176991,110.66084206359838,3713.9910647250244,246.34003922088658,1,yes
63,65.58555380447055,1828.6930019396905,1718.4547517860842,254.03746034705753,9,no
64,76.00340105889055,1508.0370696865846,3866.9527279842414,18.121603908817807,1,no
65,77.33551396716399,154.43625374996805,3854.8437085861187,149.8450458505885,4,no
66,59.24272277627635,835.9393927098344,3413.5077273147667,250.34396628569456,4,no
67,98.47923138822793,2724.797657899961,1184.851079357647,201.25450343203508,5,no
68,88.75664116805572,718.6856720009173,1546.5399371216818,342.5959364753289,2,no
69,96.97494707820945,434.6846162736693,3406.035319352259,263.477452647578,7,no
70,94.74136752138244,1468.358280832689,1274.5188005735479,65.17377083257188,0,no
71,79.89499894055426,2956.951362331802,686.276059277509,28.227498960171935,5,yes
72,96.09371175115584,726.1658145345012,2231.637037208817,256.96771128252624,3,yes
73,54.424625102595975,2016.4066422176356,3745.257548901516,10.604524216648725,0,yes
74,59.79914312095726,2284.8588459861526,2787.1588887331422,234.31023250938532,6,no
75,52.2613644455269,712.912631977199,2284.544068656566,376.092096569983,8,no
76,66.26651653816322,2184.649045835579,397.73421014536643,230.1896711503516,3,yes
77,69.4338644844741,1103.3493981577597,2463.878834529687,155.26797048260877,3,no
78,63.567451588694794,1896.9174917807384,3960.3148619160106,257.3152873769413,5,no
79,91.43687545759647,1900.5891322826842,568.9352207937309,183.30115619660666,2,yes
80,67.83766633467947,1607.3240522242754,2078.1353129313097,218.24671572637396,5,yes
81,64.04672548436903,270.8693101632249,3510.7185569925423,376.5859235106101,6,no
82,77.13480415791243,2505.907486767714,2965.666784839276,154.4410551203097,9,no
83,57.04621124873813,962.3401949152075,2791.092806571119,384.4762255295657,9,no
84,90.10984903770199,559.5555311995627,2812.9114951085658,362.14025678242547,2,no
85,53.727532183988544,122.32542466429175,1444.3696933668232,78.31645391571857,6,no
86,99.34434683002587,1772.6788295647254,1181.4314586153284,27.744520350066182,2,no
87,88.61223846483287,2032.6930855268472,3239.3510103592694,40.31120055097066,1,no
88,59.93578407670862,49.76348678356845,3242.352444769931,7.288730260619891,9,no
89,50.27610585618012,1536.279174897843,3469.618551134614,37.77718430237136,3,yes
90,90.77307142274171,679.4873255938138,3653.8298047003204,273.20270936654276,7,yes
91,85.34286719238085,1935.5183712283497,2050.256171455142,28.475459384091593,8,yes
92,86.45035840204937,523.0992870149744,2011.0500158019265,127.59025211750452,6,no
93,88.56351733429729,2072.8132143073976,3195.197764077433,337.95012438778184,0,no
94,53.70223258670452,1160.2060389016121,2603.356083803283,9.308774294330346,2,no
95,67.92328642721363,2810.1899662102037,2810.8478402582364,325.7873930355743,8,yes
96,55.79345297625649,412.56283243797975,3185.212751050043,112.74190990935998,0,yes
97,93.15517129377967,1023.1990531507755,3561.1213138520893,47.2659310486625,8,yes
98,81.1649063413779,340.4205637217672,1358.600675837628,278.6948661456603,7,yes
99,66.54490124263246,2774.080854835688,1508.5759810333766,251.5771387119536,0,no
100,53.177917514301186,2632.018060142943,384.9879399650673,350.98880541082116,5,yes
101,65.54911608578311,773.8248831454669,2317.3377625747344,294.02841752155433,4,yes
102,66.25916610133736,1979.9521381025372,153.40967244900094,321.39237215393945,5,no
103,86.4803089169032,2451.6666006036476,1867.736092348516,112.81382902852259,9,yes
104,81.87787356776066,1665.602434798387,2175.1520924832307,70.97581751188913,4,no
105,94.36063712881634,1588.9517350680194,1153.2995959918549,300.24590065634334,5,no
106,73.61074625809746,725.556872701355,2367.424709670353,322.7338957069056,4,yes
107,55.97971229691508,279.30830341769763,131.69599725680723,396.2020568002693,4,no
108,85.66223936114974,2691.6472738599805,159.0192731093655,165.0470707645706,3,no
109,88.03925243084487,2701.254171489991,3292.1762370320366,148.80723431711326,2,no
110,78.06385987847482,1899.304371819804,1447.160659230939,310.56518429679875,2,yes
111,88.54835899772806,1017.089373146102,516.9714454810203,136.32141610120715,3,no
112,74.68977981821953,1047.6287238379828,2093.7506076186696,372.3029302414259,8,yes
113,76.1366414690997,2177.867036610718,3082.274276863457,343.3651007372047,1,yes
114,71.37705091792748,2691.330779857731,871.1258997124042,171.59761095000735,8,yes
115,51.27095633720476,2661.259272795352,2495.332998517811,300.34842711659894,0,no
116,55.39457134966522,2339.6266375728715,350.5363853251343,301.81714963387293,0,yes
