pid,median_cpu_percent,quadratic_deviation,ram_usage,upload_speed,median_network_rate,download_speed,Number of crypto API calls,Cryptojacker or not
1,89.0625,20.83918778,2358.523438,54,579.0,525,5,yes
2,89.075,20.43873505,2358.523438,0,579.0,0,5,yes
3,89.15,20.13562008,2358.523438,0,579.0,0,5,yes
4,89.225,19.83095891,2358.523438,0,579.0,0,5,yes
5,89.225,19.54043956,2358.523438,54,579.0,525,5,yes
6,89.225,19.24213753,2358.523438,0,579.0,0,5,yes
7,89.225,19.16804973,2358.523438,0,579.0,0,5,yes
8,86.5875,21.48647986,2366.355469,0,525.0,0,5,yes
9,86.825,21.14780614,2366.355469,0,525.0,0,5,yes
10,86.8625,20.79350496,2366.308594,0,525.0,525,5,yes
11,86.9,20.45282649,2366.308594,54,525.0,0,5,yes
12,86.975,20.08738527,2366.308594,0,525.0,0,5,yes
13,87.05,19.75733076,2366.308594,0,525.0,0,5,yes
14,88.0,2.226504485,2366.277344,0,540.0,525,5,yes
15,88.025,2.680131159,2366.277344,54,532.5,0,5,yes
16,88.05,2.747047015,2366.277344,0,532.5,0,5,yes
17,88.05,2.996967668,2366.199219,54,540.0,525,5,yes
18,88.05,5.045192577,2366.207031,54,559.5,525,5,yes
19,88.05,5.053067602,2366.207031,0,559.5,0,5,yes
20,87.725,3.970651885,2366.300781,0,1061.0,0,5,yes
21,88.3625,3.891480035,2366.300781,0,1061.0,0,5,yes
22,87.725,4.165062106,2366.3125,54,579.0,525,5,yes
23,88.3625,4.149582978,2366.3125,0,579.0,525,5,yes
24,88.55,4.01824817,2366.3125,54,579.0,0,5,yes
25,88.775,3.923908064,2366.265625,417,579.0,702,5,yes
26,86.9125,2.24295382,2366.277344,0,581.0,0,5,yes
27,87.3,2.655997406,2366.277344,363,581.0,177,5,yes
28,87.8625,2.926655097,2366.277344,0,581.0,0,5,yes
29,88.425,3.03324144,2366.277344,54,581.0,527,5,yes
30,88.6375,3.089909154,2366.277344,0,581.0,0,5,yes
31,88.85,3.241833977,2366.230469,0,581.0,0,5,yes
32,85.55,3.342779023,2366.292969,0,579.0,0,5,yes
33,86.0125,3.562424364,2366.292969,0,579.0,0,5,yes
34,86.475,3.712971257,2366.292969,54,579.0,525,5,yes
35,86.75,3.932918652,2366.292969,363,579.0,177,5,yes
36,87.025,4.095596948,2366.261719,0,579.0,0,5,yes
37,87.3125,4.218676554,2366.261719,417,579.0,702,5,yes
38,84.9,22.6835666,2366.328125,0,579.0,0,5,yes
39,84.975,22.04245794,2366.328125,0,579.0,0,5,yes
40,85.0,21.41497036,2366.328125,0,579.0,0,5,yes
41,85.025,20.93552952,2366.226563,54,579.0,525,5,yes
42,85.0875,20.50729088,2366.226563,0,579.0,0,5,yes
43,85.15,20.08709897,2366.234375,54,579.0,525,5,yes
