pid,median_cpu_percent,quadratic_deviation,ram_usage,median_network_rate,Number of crypto API calls,Cryptojacker or not
114,85.65,17.37651423,2362.871094,115.0,5.0,yes
62,24.8,2.07577406,2357.109375,448.0,5.0,yes
191,42.51875,9.391784899,2090.496094,584.0,3.0,yes
141,83.175,6.041732622,2363.414063,753.0,5.0,yes
59,24.9,2.133731805,2357.109375,448.0,5.0,yes
268,60.6,15.48022077501012,354.52734375,676.0,0.0,no
80,87.675,11.14041435,2351.519531,719.0,5.0,yes
233,60.15625,19.72356162060314,344.30859375,114.0,0.0,no
29,88.425,3.03324144,2366.277344,581.0,5.0,yes
185,47.6625,8.548567137,2355.902344,813.0,3.0,yes
91,87.5,11.74178689,2351.519531,719.0,5.0,yes
86,87.6125,11.54383307,2351.519531,719.0,5.0,yes
32,85.55,3.342779023,2366.292969,579.0,5.0,yes
110,71.7625,12.78402901,2133.308594,618.5,5.0,yes
46,72.08,36.37,2184.414062,66.0,5.0,yes
330,42.6375,5.544002777,2137.445313,0.0,0.0,no
250,78.325,18.36975357475464,388.2734375,114.0,0.0,no
279,11.5375,0.581311658,91.1953125,0.0,2.0,no
216,44.125,0.9281835238674,34.203125,4871.0,5.0,no
282,15.4375,4.360381548,424.8476563,0.0,2.0,no
61,24.9,2.094988067,2357.109375,448.0,5.0,yes
116,80.75,14.98253067,2362.871094,434.0,5.0,yes
266,61.9875,15.908997453053429,381.07421875,676.0,0.0,no
329,49.475,6.25183723,2082.433594,0.0,0.0,no
73,24.3625,5.076232003,2358.238281,601.0,5.0,yes
379,1.41875,0.673171391,18.34375,0.0,1.0,no
168,87.05,18.91705976,2362.910156,60.0,5.0,yes
13,87.05,19.75733076,2366.308594,525.0,5.0,yes
284,2.84375,0.754569414,297.5039063,0.0,1.0,no
337,14.18125,0.551870045,351.765625,948829.0,5.0,no
187,47.7625,7.623480542,2355.429688,840.0,3.0,yes
58,25.0,2.154602546,2357.109375,448.0,5.0,yes
243,61.29375,15.71443096707903,377.2734375,676.0,0.0,no
283,10.6375,3.726299372,328.0859375,0.0,2.0,no
144,82.9,6.223950109,2363.414063,753.0,5.0,yes
94,87.4125,11.86021239,2351.519531,719.0,5.0,yes
269,59.7875,15.309250683818584,348.171875,676.0,0.0,no
227,78.4625,18.191138179628027,732.19921875,114.0,0.0,no
126,63.375,14.94122911,2362.929688,618.5,5.0,yes
259,58.64375,18.69504735769262,339.25,114.0,0.0,no
373,20.26875,9.580323803,394.6171875,0.0,2.0,no
220,0.425,0.1,455.6835938,0.0,0.0,no
244,60.6,15.48022077501012,354.52734375,676.0,0.0,no
343,0.11875,0.07793831,93.8203125,992.0,5.0,no
214,40.493750000000006,2.145130346013565,18.921875,48462.0,5.0,no
362,1.6875,0.79713027,49.7265625,0.0,1.0,no
115,80.925,15.22990069,2362.871094,434.0,5.0,yes
271,61.29375,15.029843511748693,384.87890625,676.0,0.0,no
175,79.225,15.12016452,2362.90625,484.0,5.0,yes
264,62.2625,16.51634193098615,356.52734375,252.0,0.0,no
111,71.75,12.71620114,2097.183594,618.5,5.0,yes
364,1.8625,0.977045575,43.27734375,0.0,3.0,no
260,59.575,18.249958593703,327.60546875,171.0,0.0,no
231,81.1875,17.838703868551555,873.2578125,174.0,0.0,no
315,61.4125,36.93335371,269.2304688,608.0,2.0,no
166,87.15,19.88388787,2362.910156,57.5,5.0,yes
262,59.575,17.487007352213325,336.3359375,228.0,0.0,no
307,3.65,0.18125,187.3671875,1532602.0,2.0,no
117,79.7625,13.52849115,2362.898438,753.0,5.0,yes
378,1.6875,0.79713027,49.7265625,0.0,1.0,no
296,0.775,0.286665526,32.046875,633072.5,2.0,no
33,86.0125,3.562424364,2366.292969,579.0,5.0,yes
160,25.125,1.973005426,2359.984375,601.0,5.0,yes
48,86.0,20.5427925,2359.242188,0.0,5.0,yes
382,0.4125,0.320806276,136.8671875,0.0,5.0,no
176,78.8625,14.4682329,2362.90625,618.5,5.0,yes
102,85.45,18.67085982,2362.910156,272.0,5.0,yes
60,25.0,2.114741451,2357.109375,448.0,5.0,yes
281,0.78125,0.29605039,32.23046875,655947.0,2.0,no
254,80.2375,17.90878864172297,547.88671875,174.0,0.0,no
340,14.15,0.942447828,347.515625,891858.0,5.0,no
331,44.40625,4.593786848,2146.480469,0.0,0.0,no
249,50.5125,21.21916073076539,403.98828125,114.0,0.0,no
256,82.1375,17.76980187221586,585.234375,201.0,0.0,no
349,0.275,0.126485259,25.77734375,8048.0,3.0,no
164,20.45,4.28711772,2359.148438,458.0,5.0,yes
170,84.975,15.11795487,2362.910156,60.0,5.0,yes
248,0.4125,0.1530679063377339,18.6015625,1397894.0,0.0,no
357,6.275,1.981169748,45.65234375,0.0,3.0,no
23,88.3625,4.149582978,2366.3125,579.0,5.0,yes
43,85.15,20.08709897,2366.234375,579.0,5.0,yes
195,12.8625,5.521069856,1032.835938,301.5,3.0,yes
336,41.75,8.813427492,1353.226563,0.0,0.0,no
200,24.9875,5.203614974,2092.6875,565.5,3.0,yes
169,85.4625,15.05351714,2362.910156,60.0,5.0,yes
172,83.125,18.95095232,2362.929688,55.0,5.0,yes
180,79.225,10.92318484,2362.90625,618.5,5.0,yes
140,83.175,6.453776387,2363.414063,753.0,5.0,yes
229,79.41874999999999,17.991806009959113,623.57421875,144.0,0.0,no
267,61.29375,15.71443096707903,377.2734375,676.0,0.0,no
326,50.68125,9.99775627,102.4257813,145255.5,0.0,no
211,1.55,1.4665258401885826,510.92578125,0.0,5.0,no
76,24.375,5.054100392,2358.21875,601.0,5.0,yes
173,81.45,18.49568574,2362.929688,434.0,5.0,yes
79,23.95,5.280391202,2358.238281,601.0,5.0,yes
324,5.6625,0.9193290033,174.78125,6106184.5,2.0,no
120,80.15,10.1498617,2362.898438,253.0,5.0,yes
359,3.2125,1.522105632,297.8789063,0.0,5.0,no
65,24.575,6.317087139,2363.410156,601.0,5.0,yes
215,39.96875,1.5420252257584417,26.2109375,163038.0,5.0,no
258,59.575,19.17954515250409,335.64453125,114.0,0.0,no
292,2.0625,0.915198235,43.3984375,0.0,2.0,no
316,76.575,36.06704477,347.5625,670.0,2.0,no
240,62.2625,16.51634193098615,356.52734375,252.0,0.0,no
224,0.4125,0.1530679063377339,18.6015625,1397894.0,0.0,no
286,15.15,4.483715597,434.5859375,0.0,1.0,no
345,20.26875,9.580323803,394.6171875,0.0,2.0,no
40,85.0,21.41497036,2366.328125,579.0,5.0,yes
127,62.775,14.75181409,2362.929688,753.0,5.0,yes
8,86.5875,21.48647986,2366.355469,525.0,5.0,yes
183,46.95,10.48642633,2355.898438,840.0,3.0,yes
328,50.525,0.5131187923,59.9609375,700.0,0.0,no
386,0.11875,0.07793831,93.8203125,992.0,5.0,no
318,11.775,0.4852970701,91.98828125,0.0,2.0,no
384,0.225,0.106066017,94.16796875,372.0,5.0,no
132,11.6,7.697277552,713.5078125,2221.5,2.0,yes
129,59.3,13.2960954,2362.929688,618.5,5.0,yes
293,1.55625,0.642888626,15.12109375,0.0,2.0,no
26,86.9125,2.24295382,2366.277344,581.0,5.0,yes
78,25.0,6.66112874,2358.246094,593.5,5.0,yes
67,24.8,1.695069546,2363.410156,603.0,5.0,yes
276,2.640625,1.594517637692848,405.95703125,0.0,0.0,no
361,1.775,0.869047211,14.62890625,0.0,2.0,no
121,67.55,16.7348587,2362.929688,115.0,5.0,yes
339,13.675,1.042874814,347.3007813,873018.0,5.0,no
218,0.3,0.1053268722,284.3789063,5390.0,0.0,no
119,80.15,10.21305315,2362.898438,368.5,5.0,yes
212,6.75,1.7506520868778914,252.2578125,50597.0,5.0,no
342,0.125,0.081009259,93.83984375,1248.0,5.0,no
95,87.35,11.90854158,2351.519531,719.0,5.0,yes
275,12.909375,4.135843748354427,542.16796875,0.0,5.0,no
24,88.55,4.01824817,2366.3125,579.0,5.0,yes
146,48.4125,8.762648634,2355.863281,840.0,3.0,yes
89,87.575,11.66452328,2351.519531,719.0,5.0,yes
288,2.0375,0.823435534,43.3828125,0.0,2.0,no
124,63.6,15.28112354,2362.929688,484.0,5.0,yes
123,63.8625,15.38680133,2362.929688,434.0,5.0,yes
232,82.1375,17.76980187221586,585.234375,201.0,0.0,no
93,87.475,11.81627106,2351.519531,719.0,5.0,yes
274,12.4375,4.398162341595036,539.47265625,0.0,5.0,no
257,60.15625,19.72356162060314,344.30859375,114.0,0.0,no
242,61.9875,15.908997453053429,381.07421875,676.0,0.0,no
55,22.8,2.194639224,2352.222656,727.0,5.0,yes
369,0.0,0.0,70.72265625,0.0,6.0,no
327,50.7,9.488686351,105.90625,97825.0,0.0,no
81,87.675,11.21233445,2351.519531,719.0,5.0,yes
42,85.0875,20.50729088,2366.226563,579.0,5.0,yes
35,86.75,3.932918652,2366.292969,579.0,5.0,yes
251,78.4625,18.191138179628027,732.19921875,114.0,0.0,no
